id,title,content,date,game,label
42,접속 버튼 눌러도 반응이 없어요,아이디/비밀번호는 맞는데 로그인 버튼을 눌러도 다음 화면으로 넘어가지 않습니다. 캐시 지워도 동일합니다.,2025.10.12 1:17,Fantasy Quest,로그인
43,인증 오류가 반복됩니다,인증 코드 입력 후 계속 실패가 뜹니다. 여러 번 시도해도 같은 상황입니다. 혹시 서버 점검 중인가요?,2025.10.12 1:24,Fantasy Quest,로그인
44,보스전에서 프레임이 크게 떨어집니다,"스킬 연계 시 반응이 느려지고, 파티 플레이 중 딜레이가 크게 느껴집니다.",2025.10.12 1:24,Fantasy Quest,렉
45,비밀번호 맞는데 로그인 안 됩니다,인증 코드 입력 후 계속 실패가 뜹니다. 여러 번 시도해도 같은 상황입니다. 혹시 서버 점검 중인가요?,2025.10.12 1:26,Fantasy Quest,로그인
46,실행 버튼 누르면 바로 종료돼요,오늘 업데이트 이후 실행 버튼을 누르면 로고 화면에서 멈춥니다. 1분 이상 대기해도 변화가 없습니다.,2025.10.12 1:29,Fantasy Quest,실행
47,간헐적으로 결제가 중복되는 것 같습니다,구매 내역에는 기록이 있는데 인벤토리에는 해당 아이템이 보이지 않습니다. 동기화 문제인지요?,2025.10.12 1:35,Fantasy Quest,결제
48,접속 버튼 눌러도 반응이 없어요,아이디/비밀번호는 맞는데 로그인 버튼을 눌러도 다음 화면으로 넘어가지 않습니다. 캐시 지워도 동일합니다.,2025.10.12 1:36,Fantasy Quest,로그인
49,맵 이동할 때마다 렉이 걸립니다,"스킬 연계 시 반응이 느려지고, 파티 플레이 중 딜레이가 크게 느껴집니다.",2025.10.12 1:37,Fantasy Quest,렉
50,접속 버튼 눌러도 반응이 없어요,인증 코드 입력 후 계속 실패가 뜹니다. 여러 번 시도해도 같은 상황입니다. 혹시 서버 점검 중인가요?,2025.10.12 1:38,Fantasy Quest,로그인
51,카드 결제 중 서버 오류가 떠요,카드 선택 후 결제 완료 직전에 '서버 오류'가 뜨고 화면이 멈춥니다. 재시도하면 중복 결제될까 걱정입니다.,2025.10.12 1:41,Fantasy Quest,결제
52,접속 버튼 눌러도 반응이 없어요,아이디/비밀번호는 맞는데 로그인 버튼을 눌러도 다음 화면으로 넘어가지 않습니다. 캐시 지워도 동일합니다.,2025.10.12 1:44,Fantasy Quest,로그인
53,접속 버튼 눌러도 반응이 없어요,아이디/비밀번호는 맞는데 로그인 버튼을 눌러도 다음 화면으로 넘어가지 않습니다. 캐시 지워도 동일합니다.,2025.10.12 1:46,Fantasy Quest,로그인
54,지금 로그인 계속 실패합니다,"접속 시 로딩 표시만 계속 돌고, 일정 시간 후 자동으로 초기 화면으로 돌아옵니다.",2025.10.12 1:57,Fantasy Quest,로그인
55,로그인 창에서 멈춰요,인증 코드 입력 후 계속 실패가 뜹니다. 여러 번 시도해도 같은 상황입니다. 혹시 서버 점검 중인가요?,2025.10.12 1:59,Fantasy Quest,로그인
56,로그인 창에서 멈춰요,아이디/비밀번호는 맞는데 로그인 버튼을 눌러도 다음 화면으로 넘어가지 않습니다. 캐시 지워도 동일합니다.,2025.10.12 1:59,Fantasy Quest,로그인
57,실행 버튼 누르면 바로 종료돼요,패치 이후 최초 실행 시 강제 종료가 반복됩니다. 기기 호환성 문제인지 확인 바랍니다.,2025.10.12 2:16,Fantasy Quest,실행
58,요즘 서버 상태 괜찮습니다,오전에는 잠깐 느렸는데 지금은 쾌적하네요. 이벤트 중에도 무난합니다.,2025.10.12 2:31,Fantasy Quest,정상
59,이번 주는 렉 거의 못 느꼈어요,오전에는 잠깐 느렸는데 지금은 쾌적하네요. 이벤트 중에도 무난합니다.,2025.10.12 2:31,Fantasy Quest,정상
60,아이템 복구 요청드립니다,상자를 열면 '획득' 메시지는 뜨지만 아이템이 추가되지 않습니다. 로그에는 남아있습니다.,2025.10.12 2:44,Fantasy Quest,아이템
61,결제 완료됐는데 아이템이 안 들어와요,구매 내역에는 기록이 있는데 인벤토리에는 해당 아이템이 보이지 않습니다. 동기화 문제인지요?,2025.10.12 2:47,Fantasy Quest,결제
62,전투 들어가면 끊김이 심해요,특히 보스전에서 인원 몰리면 프레임이 10 이하로 떨어집니다. 네트워크는 정상인데 게임만 느립니다.,2025.10.12 3:10,Fantasy Quest,렉
63,재설치해도 실행이 되지 않습니다,오늘 업데이트 이후 실행 버튼을 누르면 로고 화면에서 멈춥니다. 1분 이상 대기해도 변화가 없습니다.,2025.10.12 3:36,Fantasy Quest,실행
64,전투 중 강제 종료됩니다,월드 보스 입장 직후 튕김이 발생합니다. 기기 재부팅 후에도 동일합니다.,2025.10.12 4:04,Fantasy Quest,튕김
65,전투 중 강제 종료됩니다,월드 보스 입장 직후 튕김이 발생합니다. 기기 재부팅 후에도 동일합니다.,2025.10.12 4:13,Fantasy Quest,튕김
66,강화 재료가 사라졌습니다,상자를 열면 '획득' 메시지는 뜨지만 아이템이 추가되지 않습니다. 로그에는 남아있습니다.,2025.10.12 4:17,Fantasy Quest,아이템
67,결제 완료됐는데 아이템이 안 들어와요,결제 승인 문자는 왔는데 게임 안에서는 보석이 들어오지 않았습니다. 확인 부탁드립니다.,2025.10.12 5:20,Fantasy Quest,결제
68,전투 중 강제 종료됩니다,"로딩 중간에 강제 종료된 다음, 다시 켜면 로그인부터 다시 해야 합니다. 데이터 손실도 있었습니다.",2025.10.12 5:30,Fantasy Quest,튕김
69,오늘은 안정적인데요?,오전에는 잠깐 느렸는데 지금은 쾌적하네요. 이벤트 중에도 무난합니다.,2025.10.12 6:02,Fantasy Quest,정상
70,상자를 열었는데 아이템이 안 나왔어요,퀘스트 보상으로 받은 무기가 인벤토리에서 사라졌습니다. 접속을 다시 해도 보이지 않습니다.,2025.10.12 6:47,Fantasy Quest,아이템
71,인증 오류가 반복됩니다,"접속 시 로딩 표시만 계속 돌고, 일정 시간 후 자동으로 초기 화면으로 돌아옵니다.",2025.10.12 6:54,Fantasy Quest,로그인
72,로그엔 획득으로 찍히는데 실제로는 없습니다,퀘스트 보상으로 받은 무기가 인벤토리에서 사라졌습니다. 접속을 다시 해도 보이지 않습니다.,2025.10.12 7:07,Fantasy Quest,아이템
73,스킬 사용하면 화면이 잠깐 멈춰요,특히 보스전에서 인원 몰리면 프레임이 10 이하로 떨어집니다. 네트워크는 정상인데 게임만 느립니다.,2025.10.12 7:11,Fantasy Quest,렉
74,업데이트 후 실행이 안 됩니다,앱을 켜면 바로 종료되어 플레이가 불가능합니다. 캐시 삭제 및 재설치했지만 동일합니다.,2025.10.12 7:26,Fantasy Quest,실행
75,전투 들어가면 끊김이 심해요,맵 이동할 때 검은 화면이 잠깐 나오고 1~2초 후에야 다시 움직입니다. 전투 타이밍이 어긋납니다.,2025.10.12 7:32,Fantasy Quest,렉
76,상자를 열었는데 아이템이 안 나왔어요,상자를 열면 '획득' 메시지는 뜨지만 아이템이 추가되지 않습니다. 로그에는 남아있습니다.,2025.10.12 7:37,Fantasy Quest,아이템
77,패치 이후 처음 실행 시 계속 꺼집니다,오늘 업데이트 이후 실행 버튼을 누르면 로고 화면에서 멈춥니다. 1분 이상 대기해도 변화가 없습니다.,2025.10.12 7:54,Fantasy Quest,실행
78,게임 플레이 꽤 쾌적합니다,오전에는 잠깐 느렸는데 지금은 쾌적하네요. 이벤트 중에도 무난합니다.,2025.10.12 7:54,Fantasy Quest,정상
79,요즘 서버 상태 괜찮습니다,어제보다 서버가 안정적인 느낌입니다. 접속자 많아도 큰 끊김 없이 잘 됩니다.,2025.10.12 8:09,Fantasy Quest,정상
80,보석 구매했는데 인벤에 추가가 안 됩니다,카드 선택 후 결제 완료 직전에 '서버 오류'가 뜨고 화면이 멈춥니다. 재시도하면 중복 결제될까 걱정입니다.,2025.10.12 8:17,Fantasy Quest,결제
81,아침엔 괜찮았는데 지금은 느려졌습니다,"스킬 연계 시 반응이 느려지고, 파티 플레이 중 딜레이가 크게 느껴집니다.",2025.10.12 8:19,Fantasy Quest,렉
82,로그엔 획득으로 찍히는데 실제로는 없습니다,상자를 열면 '획득' 메시지는 뜨지만 아이템이 추가되지 않습니다. 로그에는 남아있습니다.,2025.10.12 8:21,Fantasy Quest,아이템
83,레이드 하다가 앱이 종료됐어요,레이드 3페이즈에서 갑자기 앱이 종료되어 보상을 못 받았습니다. 재현이 자주 됩니다.,2025.10.12 8:58,Fantasy Quest,튕김
84,로고 화면에서 멈춰요,앱을 켜면 바로 종료되어 플레이가 불가능합니다. 캐시 삭제 및 재설치했지만 동일합니다.,2025.10.12 9:13,Fantasy Quest,실행
85,요즘 서버 상태 괜찮습니다,어제보다 서버가 안정적인 느낌입니다. 접속자 많아도 큰 끊김 없이 잘 됩니다.,2025.10.12 9:43,Fantasy Quest,정상
86,업데이트 후 실행이 안 됩니다,앱을 켜면 바로 종료되어 플레이가 불가능합니다. 캐시 삭제 및 재설치했지만 동일합니다.,2025.10.12 9:51,Fantasy Quest,실행
87,보석 구매했는데 인벤에 추가가 안 됩니다,카드 선택 후 결제 완료 직전에 '서버 오류'가 뜨고 화면이 멈춥니다. 재시도하면 중복 결제될까 걱정입니다.,2025.10.12 9:53,Fantasy Quest,결제
88,결제 완료됐는데 아이템이 안 들어와요,카드 선택 후 결제 완료 직전에 '서버 오류'가 뜨고 화면이 멈춥니다. 재시도하면 중복 결제될까 걱정입니다.,2025.10.12 10:05,Fantasy Quest,결제
89,오늘은 안정적인데요?,"사냥, 던전, 거래 모두 무리 없이 돌아갑니다. 개발팀 고생 많으셨습니다.",2025.10.12 10:44,Fantasy Quest,정상
90,튕김 이후 재접속에 시간이 오래 걸립니다,"로딩 중간에 강제 종료된 다음, 다시 켜면 로그인부터 다시 해야 합니다. 데이터 손실도 있었습니다.",2025.10.12 10:45,Fantasy Quest,튕김
91,로딩 중 갑자기 꺼집니다,월드 보스 입장 직후 튕김이 발생합니다. 기기 재부팅 후에도 동일합니다.,2025.10.12 11:02,Fantasy Quest,튕김
92,이번 주는 렉 거의 못 느꼈어요,어제보다 서버가 안정적인 느낌입니다. 접속자 많아도 큰 끊김 없이 잘 됩니다.,2025.10.12 11:20,Fantasy Quest,정상
93,게임 플레이 꽤 쾌적합니다,오전에는 잠깐 느렸는데 지금은 쾌적하네요. 이벤트 중에도 무난합니다.,2025.10.12 11:56,Fantasy Quest,정상
94,튕김 이후 재접속에 시간이 오래 걸립니다,월드 보스 입장 직후 튕김이 발생합니다. 기기 재부팅 후에도 동일합니다.,2025.10.12 12:07,Fantasy Quest,튕김
95,아이템 복구 요청드립니다,강화 시도 후 재료가 사라졌는데 강화 결과는 반영되지 않았습니다. 복구 부탁드립니다.,2025.10.12 12:15,Fantasy Quest,아이템
96,보석 구매했는데 인벤에 추가가 안 됩니다,결제 승인 문자는 왔는데 게임 안에서는 보석이 들어오지 않았습니다. 확인 부탁드립니다.,2025.10.12 12:20,Fantasy Quest,결제
97,강화 재료가 사라졌습니다,상자를 열면 '획득' 메시지는 뜨지만 아이템이 추가되지 않습니다. 로그에는 남아있습니다.,2025.10.12 12:55,Fantasy Quest,아이템
98,아침엔 괜찮았는데 지금은 느려졌습니다,특히 보스전에서 인원 몰리면 프레임이 10 이하로 떨어집니다. 네트워크는 정상인데 게임만 느립니다.,2025.10.12 13:02,Fantasy Quest,렉
99,로그엔 획득으로 찍히는데 실제로는 없습니다,퀘스트 보상으로 받은 무기가 인벤토리에서 사라졌습니다. 접속을 다시 해도 보이지 않습니다.,2025.10.12 13:52,Fantasy Quest,아이템
100,보석 구매했는데 인벤에 추가가 안 됩니다,구매 내역에는 기록이 있는데 인벤토리에는 해당 아이템이 보이지 않습니다. 동기화 문제인지요?,2025.10.12 14:02,Fantasy Quest,결제
101,레이드 하다가 앱이 종료됐어요,레이드 3페이즈에서 갑자기 앱이 종료되어 보상을 못 받았습니다. 재현이 자주 됩니다.,2025.10.12 14:05,Fantasy Quest,튕김
102,보상으로 받은 장비가 사라졌습니다,상자를 열면 '획득' 메시지는 뜨지만 아이템이 추가되지 않습니다. 로그에는 남아있습니다.,2025.10.12 14:39,Fantasy Quest,아이템
103,보스전에서 프레임이 크게 떨어집니다,맵 이동할 때 검은 화면이 잠깐 나오고 1~2초 후에야 다시 움직입니다. 전투 타이밍이 어긋납니다.,2025.10.12 14:53,Fantasy Quest,렉
104,이번 주는 렉 거의 못 느꼈어요,오전에는 잠깐 느렸는데 지금은 쾌적하네요. 이벤트 중에도 무난합니다.,2025.10.12 15:25,Fantasy Quest,정상
105,결제 완료됐는데 아이템이 안 들어와요,구매 내역에는 기록이 있는데 인벤토리에는 해당 아이템이 보이지 않습니다. 동기화 문제인지요?,2025.10.12 15:32,Fantasy Quest,결제
106,게임 플레이 꽤 쾌적합니다,어제보다 서버가 안정적인 느낌입니다. 접속자 많아도 큰 끊김 없이 잘 됩니다.,2025.10.12 16:06,Fantasy Quest,정상
107,아침엔 괜찮았는데 지금은 느려졌습니다,"스킬 연계 시 반응이 느려지고, 파티 플레이 중 딜레이가 크게 느껴집니다.",2025.10.12 16:06,Fantasy Quest,렉
108,게임 플레이 꽤 쾌적합니다,"사냥, 던전, 거래 모두 무리 없이 돌아갑니다. 개발팀 고생 많으셨습니다.",2025.10.12 16:37,Fantasy Quest,정상
109,로그인 창에서 멈춰요,아이디/비밀번호는 맞는데 로그인 버튼을 눌러도 다음 화면으로 넘어가지 않습니다. 캐시 지워도 동일합니다.,2025.10.12 16:47,Fantasy Quest,로그인
110,재설치해도 실행이 되지 않습니다,패치 이후 최초 실행 시 강제 종료가 반복됩니다. 기기 호환성 문제인지 확인 바랍니다.,2025.10.12 16:59,Fantasy Quest,실행
111,업데이트 후 실행이 안 됩니다,패치 이후 최초 실행 시 강제 종료가 반복됩니다. 기기 호환성 문제인지 확인 바랍니다.,2025.10.12 16:59,Fantasy Quest,실행
112,튕김 이후 재접속에 시간이 오래 걸립니다,월드 보스 입장 직후 튕김이 발생합니다. 기기 재부팅 후에도 동일합니다.,2025.10.12 17:27,Fantasy Quest,튕김
113,패치 이후 처음 실행 시 계속 꺼집니다,앱을 켜면 바로 종료되어 플레이가 불가능합니다. 캐시 삭제 및 재설치했지만 동일합니다.,2025.10.12 17:32,Fantasy Quest,실행
114,레이드 하다가 앱이 종료됐어요,"로딩 중간에 강제 종료된 다음, 다시 켜면 로그인부터 다시 해야 합니다. 데이터 손실도 있었습니다.",2025.10.12 17:46,Fantasy Quest,튕김
115,던전 중간에 게임이 튕겨요,레이드 3페이즈에서 갑자기 앱이 종료되어 보상을 못 받았습니다. 재현이 자주 됩니다.,2025.10.12 17:49,Fantasy Quest,튕김
116,로그인 창에서 멈춰요,"접속 시 로딩 표시만 계속 돌고, 일정 시간 후 자동으로 초기 화면으로 돌아옵니다.",2025.10.12 17:58,Fantasy Quest,로그인
117,로고 화면에서 멈춰요,패치 이후 최초 실행 시 강제 종료가 반복됩니다. 기기 호환성 문제인지 확인 바랍니다.,2025.10.12 18:10,Fantasy Quest,실행
118,전투 들어가면 끊김이 심해요,"스킬 연계 시 반응이 느려지고, 파티 플레이 중 딜레이가 크게 느껴집니다.",2025.10.12 18:29,Fantasy Quest,렉
119,업데이트 이후 전반적으로 좋아졌네요,어제보다 서버가 안정적인 느낌입니다. 접속자 많아도 큰 끊김 없이 잘 됩니다.,2025.10.12 18:38,Fantasy Quest,정상
120,게임 플레이 꽤 쾌적합니다,오전에는 잠깐 느렸는데 지금은 쾌적하네요. 이벤트 중에도 무난합니다.,2025.10.12 19:01,Fantasy Quest,정상
121,비밀번호 맞는데 로그인 안 됩니다,인증 코드 입력 후 계속 실패가 뜹니다. 여러 번 시도해도 같은 상황입니다. 혹시 서버 점검 중인가요?,2025.10.12 19:40,Fantasy Quest,로그인
122,아이템 복구 요청드립니다,강화 시도 후 재료가 사라졌는데 강화 결과는 반영되지 않았습니다. 복구 부탁드립니다.,2025.10.12 19:54,Fantasy Quest,아이템
123,맵 이동할 때마다 렉이 걸립니다,특히 보스전에서 인원 몰리면 프레임이 10 이하로 떨어집니다. 네트워크는 정상인데 게임만 느립니다.,2025.10.12 19:59,Fantasy Quest,렉
124,업데이트 후 실행이 안 됩니다,오늘 업데이트 이후 실행 버튼을 누르면 로고 화면에서 멈춥니다. 1분 이상 대기해도 변화가 없습니다.,2025.10.12 20:26,Fantasy Quest,실행
125,보석 구매했는데 인벤에 추가가 안 됩니다,결제 승인 문자는 왔는데 게임 안에서는 보석이 들어오지 않았습니다. 확인 부탁드립니다.,2025.10.12 21:04,Fantasy Quest,결제
126,결제 완료됐는데 아이템이 안 들어와요,카드 선택 후 결제 완료 직전에 '서버 오류'가 뜨고 화면이 멈춥니다. 재시도하면 중복 결제될까 걱정입니다.,2025.10.12 22:11,Fantasy Quest,결제
127,로고 화면에서 멈춰요,패치 이후 최초 실행 시 강제 종료가 반복됩니다. 기기 호환성 문제인지 확인 바랍니다.,2025.10.12 22:13,Fantasy Quest,실행
128,간헐적으로 결제가 중복되는 것 같습니다,구매 내역에는 기록이 있는데 인벤토리에는 해당 아이템이 보이지 않습니다. 동기화 문제인지요?,2025.10.12 22:57,Fantasy Quest,결제
129,레이드 하다가 앱이 종료됐어요,"로딩 중간에 강제 종료된 다음, 다시 켜면 로그인부터 다시 해야 합니다. 데이터 손실도 있었습니다.",2025.10.12 23:45,Fantasy Quest,튕김
130,카드 결제 중 서버 오류가 떠요,카드 선택 후 결제 완료 직전에 '서버 오류'가 뜨고 화면이 멈춥니다. 재시도하면 중복 결제될까 걱정입니다.,2025.10.12 23:56,Fantasy Quest,결제
131,게임 플레이 꽤 쾌적합니다,"사냥, 던전, 거래 모두 무리 없이 돌아갑니다. 개발팀 고생 많으셨습니다.",2025.10.13 0:29,Fantasy Quest,정상
132,상자를 열었는데 아이템이 안 나왔어요,퀘스트 보상으로 받은 무기가 인벤토리에서 사라졌습니다. 접속을 다시 해도 보이지 않습니다.,2025.10.13 0:39,Fantasy Quest,아이템
133,전투 중 강제 종료됩니다,"로딩 중간에 강제 종료된 다음, 다시 켜면 로그인부터 다시 해야 합니다. 데이터 손실도 있었습니다.",2025.10.13 1:23,Fantasy Quest,튕김
134,맵 이동할 때마다 렉이 걸립니다,특히 보스전에서 인원 몰리면 프레임이 10 이하로 떨어집니다. 네트워크는 정상인데 게임만 느립니다.,2025.10.13 1:27,Fantasy Quest,렉
135,전투 들어가면 끊김이 심해요,특히 보스전에서 인원 몰리면 프레임이 10 이하로 떨어집니다. 네트워크는 정상인데 게임만 느립니다.,2025.10.13 1:32,Fantasy Quest,렉
136,아이템 복구 요청드립니다,퀘스트 보상으로 받은 무기가 인벤토리에서 사라졌습니다. 접속을 다시 해도 보이지 않습니다.,2025.10.13 1:35,Fantasy Quest,아이템
137,재설치해도 실행이 되지 않습니다,패치 이후 최초 실행 시 강제 종료가 반복됩니다. 기기 호환성 문제인지 확인 바랍니다.,2025.10.13 3:05,Fantasy Quest,실행
138,패치 이후 처음 실행 시 계속 꺼집니다,패치 이후 최초 실행 시 강제 종료가 반복됩니다. 기기 호환성 문제인지 확인 바랍니다.,2025.10.13 3:08,Fantasy Quest,실행
139,던전 중간에 게임이 튕겨요,레이드 3페이즈에서 갑자기 앱이 종료되어 보상을 못 받았습니다. 재현이 자주 됩니다.,2025.10.13 3:35,Fantasy Quest,튕김
140,아이템 복구 요청드립니다,강화 시도 후 재료가 사라졌는데 강화 결과는 반영되지 않았습니다. 복구 부탁드립니다.,2025.10.13 3:39,Fantasy Quest,아이템
141,로고 화면에서 멈춰요,오늘 업데이트 이후 실행 버튼을 누르면 로고 화면에서 멈춥니다. 1분 이상 대기해도 변화가 없습니다.,2025.10.13 3:48,Fantasy Quest,실행
142,카드 결제 중 서버 오류가 떠요,결제 승인 문자는 왔는데 게임 안에서는 보석이 들어오지 않았습니다. 확인 부탁드립니다.,2025.10.13 4:36,Fantasy Quest,결제
